5 digit BPA ID,Data type,Taxon_OR_organism,Strain_OR_isolate,Serovar,Growth Media,Replicate,Omics,Analytical platform,Facility,Work order #,Contextual Data Submission Date,Sample submission date
102.100.100.50778,Main dataset,Klebsiella pneumoniae,04153260899A,,Pooled sera,6,Metabolomics,LC-MS,MA,,4/5/18,4/5/18
102.100.100.50777,Main dataset,Klebsiella pneumoniae,04153260899A,,Pooled sera,5,Metabolomics,LC-MS,MA,,4/5/18,4/5/18
102.100.100.50776,Main dataset,Klebsiella pneumoniae,04153260899A,,Pooled sera,4,Metabolomics,LC-MS,MA,,4/5/18,4/5/18
102.100.100.50775,Main dataset,Klebsiella pneumoniae,04153260899A,,Pooled sera,3,Metabolomics,LC-MS,MA,,4/5/18,4/5/18
102.100.100.50774,Main dataset,Klebsiella pneumoniae,04153260899A,,Pooled sera,2,Metabolomics,LC-MS,MA,,4/5/18,4/5/18
102.100.100.50773,Main dataset,Klebsiella pneumoniae,04153260899A,,Pooled sera,1,Metabolomics,LC-MS,MA,,4/5/18,4/5/18
102.100.100.50772,Main dataset,Klebsiella pneumoniae,04153260899A,,RPMI,6,Metabolomics,LC-MS,MA,,4/5/18,4/5/18
102.100.100.50771,Main dataset,Klebsiella pneumoniae,04153260899A,,RPMI,5,Metabolomics,LC-MS,MA,,4/5/18,4/5/18
102.100.100.50770,Main dataset,Klebsiella pneumoniae,04153260899A,,RPMI,4,Metabolomics,LC-MS,MA,,4/5/18,4/5/18
102.100.100.50769,Main dataset,Klebsiella pneumoniae,04153260899A,,RPMI,3,Metabolomics,LC-MS,MA,,4/5/18,4/5/18
102.100.100.50768,Main dataset,Klebsiella pneumoniae,04153260899A,,RPMI,2,Metabolomics,LC-MS,MA,,4/5/18,4/5/18
102.100.100.50767,Main dataset,Klebsiella pneumoniae,04153260899A,,RPMI,1,Metabolomics,LC-MS,MA,,4/5/18,4/5/18
102.100.100.50766,Main dataset,Klebsiella pneumoniae,03-311-0071,,Pooled sera,6,Metabolomics,LC-MS,MA,,4/5/18,4/5/18
102.100.100.50765,Main dataset,Klebsiella pneumoniae,03-311-0071,,Pooled sera,5,Metabolomics,LC-MS,MA,,4/5/18,4/5/18
102.100.100.50764,Main dataset,Klebsiella pneumoniae,03-311-0071,,Pooled sera,4,Metabolomics,LC-MS,MA,,4/5/18,4/5/18
102.100.100.50763,Main dataset,Klebsiella pneumoniae,03-311-0071,,Pooled sera,3,Metabolomics,LC-MS,MA,,4/5/18,4/5/18
102.100.100.50762,Main dataset,Klebsiella pneumoniae,03-311-0071,,Pooled sera,2,Metabolomics,LC-MS,MA,,4/5/18,4/5/18
102.100.100.50761,Main dataset,Klebsiella pneumoniae,03-311-0071,,Pooled sera,1,Metabolomics,LC-MS,MA,,4/5/18,4/5/18
102.100.100.50760,Main dataset,Klebsiella pneumoniae,03-311-0071,,RPMI,6,Metabolomics,LC-MS,MA,,4/5/18,4/5/18
102.100.100.50759,Main dataset,Klebsiella pneumoniae,03-311-0071,,RPMI,5,Metabolomics,LC-MS,MA,,4/5/18,4/5/18
102.100.100.50758,Main dataset,Klebsiella pneumoniae,03-311-0071,,RPMI,4,Metabolomics,LC-MS,MA,,4/5/18,4/5/18
102.100.100.50757,Main dataset,Klebsiella pneumoniae,03-311-0071,,RPMI,3,Metabolomics,LC-MS,MA,,4/5/18,4/5/18
102.100.100.50756,Main dataset,Klebsiella pneumoniae,03-311-0071,,RPMI,2,Metabolomics,LC-MS,MA,,4/5/18,4/5/18
102.100.100.50755,Main dataset,Klebsiella pneumoniae,03-311-0071,,RPMI,1,Metabolomics,LC-MS,MA,,4/5/18,4/5/18
102.100.100.50754,Main dataset,Klebsiella pneumoniae,KPC2,ethics embargo,Pooled sera,6,Metabolomics,LC-MS,MA,,4/5/18,4/5/18
102.100.100.50753,Main dataset,Klebsiella pneumoniae,KPC2,ethics embargo,Pooled sera,5,Metabolomics,LC-MS,MA,,4/5/18,4/5/18
